id,start,label,comm_tkn,gender,business_type,bal,vol_trans_in,vol_trans_out,n_trans_in,n_trans_out
0x53f1d5c3042a91b603fd3c3cf3597397799edd4b,2019-04-09T20:47:30+03:00,1850,ZENI,Male,Food,4,14161.924661249817,14157.0,220,148
0x019bdaf7c4a1f9bfb5b262e90271441c0d0a0203,2019-04-09T20:55:45+03:00,1851,ZENI,Female,General shop,455,460.0,5.0,3,2
0x02dcfcbae3ed723bc9815068360f3912931e199b,2019-04-09T12:14:15+03:00,1852,ZENI,Male,Food,200,664.0,464.0,6,5
0x5701ba6393cb08ae195d423491efd07c09dd1d53,2019-04-09T12:17:20+03:00,1853,ZENI,Male,Labour,16,1110.0,1044.0,6,14
0x5a864bfa799d016b3a119cea261fe3eb04f4e403,2019-04-09T20:50:20+03:00,1854,ZENI,Male,Labour,567,1462.0949419812732,895.0,7,10
0xda7afef416c231a6c6f0b639cab91624b0c47558,2019-04-09T20:57:45+03:00,1855,ZENI,Female,Food,65,2324.0213479879208,2259.0,13,20
0xdb2fcdd6d0dde21622f653e2f4826a5ffc085616,2019-04-09T12:25:15+03:00,1856,ZENI,Male,Food,75,6001.227083157673,5926.0,31,37
0x4d7ab946c50a55414f5deff204c04b0263ea5cba,2019-04-09T20:53:10+03:00,1857,ZENI,Female,Food,106,500.0,394.0,3,3
0xf63e93892c7e51c4f424a59b67bcb4763ef6c151,2019-04-12T17:30:10+03:00,1858,ZENI,Female,Food,148,5723.335235047966,5575.0,46,40
0x613e221960c91f1711c8e8acb2769c580ab2e3c5,2019-04-11T20:14:15+03:00,1859,ZENI,Female,Energy,641,1127.0754970578703,486.0,10,9
0x5417711092781d065bec13656327d5f61a09dc45,2019-04-09T21:00:35+03:00,1860,ZENI,Male,Labour,62,2210.891295318549,2148.0,14,15
0x432bbb72105532af3cee9a6e22c0ee6e56285d3c,2019-04-27T13:40:50+03:00,1861,ZENI,Female,Food,96,746.0,650.0,7,8
0x36dd6393669735ead9dced7a891364252c33d948,2019-06-05T17:28:45+03:00,1862,ZENI,Male,Food,156,842.6331085665561,686.0,7,2
0x6457130f87e79ed82d905ebe72f5896879fef2ea,2019-04-09T21:02:55+03:00,1863,ZENI,Female,General shop,64,1883.0923548183234,1819.0,13,24
0x8b07b68c4eb615fea0922b46cea19129de5a8a50,2019-04-09T20:55:15+03:00,1864,ZENI,Female,Food,105,1839.049513609922,1734.0,17,9
0xced52a2fec806a1ad708eb033537052917b2014f,2019-06-05T17:16:30+03:00,1865,ZENI,Female,Food,374,624.1189727490398,200.0,6,1
0x69d2e5a835f46aededf252daf4c8744bfa4a35c1,2019-04-26T11:47:50+03:00,1866,ZENI,Male,Food,80,80.0,1.0,3,1
0xae26f559f488e180d1ecd7b6edc0395cd68e88cc,2019-04-09T21:00:55+03:00,1867,ZENI,Female,Food,50,630.0,580.0,5,3
0x1cc22cc4645ce0d8b5bb9d12aad22e8aafcf81aa,2019-04-09T21:05:15+03:00,1868,ZENI,Female,Food,51,5628.979295090311,5577.0,51,64
0xa06842c566bd54fd6efd0e05f6962a9ceb619660,2019-04-09T21:08:05+03:00,1869,ZENI,Female,General shop,557,6985.166611473554,6428.0,53,59
0x433d40e39a83f083a7d954c20d3006c1a14455b9,2019-04-12T17:39:10+03:00,1870,ZENI,Female,General shop,768,11247.0,10479.0,46,53
0x8ae9e1e9cfa2340064a71ff8813ca42d29e3a28a,2019-05-10T21:35:35+03:00,1871,ZENI,Male,Transport,118,168.64670985944122,50.0,5,1
0xca08c37701b21c8f304254bc5bbde9723750ee88,2019-04-09T21:06:45+03:00,1872,ZENI,Female,Energy,267,2370.507556060947,2103.0,15,19
0x48491c42e69ccce5459f4530dfd2b6847fb3d2e4,2019-04-09T21:09:25+03:00,1873,ZENI,Female,Energy,425,589.8834156600932,164.0,6,3
0xce106e61e91e4e19840b3face21292f1dff4d254,2019-06-05T17:52:00+03:00,1874,ZENI,Female,Food,210,1280.9704566117555,1070.0,7,11
0x6fcf81cf4a33b6b423fae1b0c45bf83544002214,2019-04-26T11:44:55+03:00,1875,ZENI,Female,Energy,349,769.3777094110372,420.0,9,6
